fecha,casos,TAR,muertes,vacunados_1,vacunados_2
2020-01-01,1,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,1,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,1,0,0,0,0
2020-01-11,1,0,0,0,0
2020-01-12,1,0,0,0,0
2020-01-13,2,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,1,0,0,0,0
2020-01-16,1,0,0,0,0
2020-01-17,1,0,0,0,0
2020-01-18,2,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,3,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,2,0,0,0,0
2020-01-24,2,0,0,0,0
2020-01-25,1,0,0,0,0
2020-01-26,1,0,0,0,0
2020-01-27,1,0,0,0,0
2020-01-28,1,0,0,0,0
2020-01-29,4,0,0,0,0
2020-01-30,1,0,0,0,0
2020-01-31,3,0,0,0,0
2020-02-01,16,0,0,0,0
2020-02-02,10,0,0,0,0
2020-02-03,11,0,0,0,0
2020-02-04,9,0,0,0,0
2020-02-05,6,0,0,0,0
2020-02-06,9,0,0,0,0
2020-02-07,16,0,0,0,0
2020-02-08,9,0,0,0,0
2020-02-09,3,0,0,0,0
2020-02-10,22,1,0,0,0
2020-02-11,13,0,0,0,0
2020-02-12,23,0,0,0,0
2020-02-13,24,0,0,0,0
2020-02-14,19,0,0,0,0
2020-02-15,35,0,0,0,0
2020-02-16,23,0,0,0,0
2020-02-17,27,0,0,0,0
2020-02-18,27,0,0,0,0
2020-02-19,17,0,0,0,0
2020-02-20,53,0,0,0,0
2020-02-21,59,0,0,0,0
2020-02-22,58,0,0,0,0
2020-02-23,73,0,0,0,0
2020-02-24,107,1,0,0,0
2020-02-25,129,0,0,0,0
2020-02-26,146,0,0,0,0
2020-02-27,180,0,0,0,0
2020-02-28,318,0,0,0,0
2020-02-29,243,0,0,0,0
2020-03-01,601,1,0,0,0
2020-03-02,722,1,0,0,0
2020-03-03,715,1,0,0,0
2020-03-04,806,1,0,0,0
2020-03-05,1111,2,0,0,0
2020-03-06,1367,1,0,0,0
2020-03-07,1543,0,2,0,0
2020-03-08,1851,2,5,0,0
2020-03-09,2870,2,5,0,0
2020-03-10,3971,1,6,0,0
2020-03-11,4148,3,10,0,0
2020-03-12,5212,1,18,0,0
2020-03-13,6890,2,30,0,0
2020-03-14,6354,5,45,0,0
2020-03-15,6930,2,46,0,0
2020-03-16,8963,2,46,0,0
2020-03-17,8344,5,59,0,0
2020-03-18,8536,4,82,0,0
2020-03-19,8433,5,88,0,0
2020-03-20,10254,3,110,0,0
2020-03-21,6958,4,124,0,0
2020-03-22,6339,2,154,0,0
2020-03-23,8971,3,209,0,0
2020-03-24,7591,8,234,0,0
2020-03-25,7346,1,272,0,0
2020-03-26,6707,5,310,0,0
2020-03-27,6340,4,342,0,0
2020-03-28,5107,6,334,0,0
2020-03-29,4205,4,354,0,0
2020-03-30,5878,5,417,0,0
2020-03-31,4682,7,396,0,0
2020-04-01,5548,15,356,0,0
2020-04-02,4670,8,393,0,0
2020-04-03,4547,2,386,0,0
2020-04-04,3399,7,354,0,0
2020-04-05,2885,6,348,0,0
2020-04-06,4138,31,351,0,0
2020-04-07,3590,45,367,0,0
2020-04-08,3689,66,345,0,0
2020-04-09,3498,75,363,0,0
2020-04-10,3195,62,318,0,0
2020-04-11,2523,49,320,0,0
2020-04-12,2003,28,304,0,0
2020-04-13,2292,43,258,0,0
2020-04-14,2613,72,271,0,0
2020-04-15,2728,67,257,0,0
2020-04-16,2531,59,242,0,0
2020-04-17,2740,54,252,0,0
2020-04-18,1798,23,207,0,0
2020-04-19,1230,23,203,0,0
2020-04-20,1913,35,190,0,0
2020-04-21,1948,47,197,0,0
2020-04-22,1976,40,149,0,0
2020-04-23,1538,19,135,0,0
2020-04-24,1466,26,149,0,0
2020-04-25,867,13,135,0,0
2020-04-26,642,6,128,0,0
2020-04-27,908,30,116,0,0
2020-04-28,1111,28,128,0,0
2020-04-29,1064,21,105,0,0
2020-04-30,871,13,96,0,0
2020-05-01,746,15,90,0,0
2020-05-02,647,12,94,0,0
2020-05-03,380,13,89,0,0
2020-05-04,617,19,86,0,0
2020-05-05,486,25,90,0,0
2020-05-06,488,21,82,0,0
2020-05-07,391,14,82,0,0
2020-05-08,452,27,52,0,0
2020-05-09,355,23,42,0,0
2020-05-10,292,31,51,0,0
2020-05-11,669,40,52,0,0
2020-05-12,604,35,40,0,0
2020-05-13,602,27,33,0,0
2020-05-14,577,23,27,0,0
2020-05-15,567,28,39,0,0
2020-05-16,319,20,25,0,0
2020-05-17,270,37,25,0,0
2020-05-18,567,35,16,0,0
2020-05-19,608,37,30,0,0
2020-05-20,510,26,31,0,0
2020-05-21,536,15,26,0,0
2020-05-22,552,23,22,0,0
2020-05-23,301,24,28,0,0
2020-05-24,305,34,19,0,0
2020-05-25,562,40,20,0,0
2020-05-26,550,25,17,0,0
2020-05-27,438,29,15,0,0
2020-05-28,475,15,14,0,0
2020-05-29,511,25,19,0,0
2020-05-30,326,33,10,0,0
2020-05-31,220,27,18,0,0
2020-06-01,429,42,9,0,0
2020-06-02,408,31,10,0,0
2020-06-03,435,25,17,0,0
2020-06-04,420,26,9,0,0
2020-06-05,485,25,8,0,0
2020-06-06,253,30,11,0,0
2020-06-07,225,37,9,0,0
2020-06-08,424,34,15,0,0
2020-06-09,374,31,3,0,0
2020-06-10,351,25,6,0,0
2020-06-11,287,33,7,0,0
2020-06-12,360,19,4,0,0
2020-06-13,152,33,6,0,0
2020-06-14,161,36,11,0,0
2020-06-15,324,16,12,0,0
2020-06-16,301,10,4,0,0
2020-06-17,271,16,4,0,0
2020-06-18,301,16,5,0,0
2020-06-19,286,17,4,0,0
2020-06-20,219,15,7,0,0
2020-06-21,211,13,3,0,0
2020-06-22,297,18,6,0,0
2020-06-23,350,18,3,0,0
2020-06-24,354,16,1,0,0
2020-06-25,367,13,4,0,0
2020-06-26,382,10,4,0,0
2020-06-27,255,15,3,0,0
2020-06-28,229,18,2,0,0
2020-06-29,415,18,2,0,0
2020-06-30,443,23,7,0,0
2020-07-01,523,20,7,0,0
2020-07-02,424,11,3,0,0
2020-07-03,568,22,5,0,0
2020-07-04,337,22,4,0,0
2020-07-05,330,31,0,0,0
2020-07-06,700,20,2,0,0
2020-07-07,823,30,6,0,0
2020-07-08,969,28,4,0,0
2020-07-09,987,30,2,0,0
2020-07-10,1128,42,2,0,0
2020-07-11,791,32,4,0,0
2020-07-12,673,36,4,0,0
2020-07-13,1503,56,2,0,0
2020-07-14,1666,57,3,0,0
2020-07-15,1928,55,3,0,0
2020-07-16,1954,36,2,0,0
2020-07-17,2116,33,3,0,0
2020-07-18,1680,45,4,0,0
2020-07-19,1418,50,4,0,0
2020-07-20,2611,56,10,0,0
2020-07-21,2609,45,9,0,0
2020-07-22,2577,51,6,0,0
2020-07-23,2472,27,6,0,0
2020-07-24,2663,40,6,0,0
2020-07-25,1975,48,12,0,0
2020-07-26,1754,46,11,0,0
2020-07-27,3328,57,11,0,0
2020-07-28,3367,51,10,0,0
2020-07-29,3379,45,8,0,0
2020-07-30,3277,38,15,0,0
2020-07-31,3685,25,12,0,0
2020-08-01,3420,54,10,0,0
2020-08-02,2721,31,7,0,0
2020-08-03,4428,64,8,0,0
2020-08-04,4780,60,12,0,0
2020-08-05,4691,58,6,0,0
2020-08-06,4674,37,12,0,0
2020-08-07,5387,63,8,0,0
2020-08-08,4133,47,5,0,0
2020-08-09,3960,53,8,0,0
2020-08-10,6287,75,14,0,0
2020-08-11,6610,75,11,0,0
2020-08-12,6539,70,9,0,0
2020-08-13,6430,57,9,0,0
2020-08-14,7214,40,13,0,0
2020-08-15,5445,49,8,0,0
2020-08-16,4758,43,7,0,0
2020-08-17,7251,36,9,0,0
2020-08-18,8492,34,10,0,0
2020-08-19,8564,47,12,0,0
2020-08-20,8440,25,13,0,0
2020-08-21,9691,24,5,0,0
2020-08-22,6507,49,8,0,0
2020-08-23,5767,50,12,0,0
2020-08-24,8496,49,16,0,0
2020-08-25,10357,58,8,0,0
2020-08-26,9856,56,10,0,0
2020-08-27,9440,47,12,0,0
2020-08-28,10936,70,11,0,0
2020-08-29,7287,72,6,0,0
2020-08-30,6345,67,11,0,0
2020-08-31,8678,91,8,0,0
2020-09-01,11301,99,16,0,0
2020-09-02,10573,87,10,0,0
2020-09-03,10486,71,13,0,0
2020-09-04,11498,59,13,0,0
2020-09-05,8589,78,10,0,0
2020-09-06,7287,69,10,0,0
2020-09-07,9897,97,9,0,0
2020-09-08,11562,105,10,0,0
2020-09-09,11971,90,13,0,0
2020-09-10,11647,81,15,0,0
2020-09-11,11932,72,7,0,0
2020-09-12,9356,96,5,0,0
2020-09-13,8048,101,8,0,0
2020-09-14,11003,112,16,0,0
2020-09-15,12451,88,10,0,0
2020-09-16,12150,99,15,0,0
2020-09-17,11748,72,14,0,0
2020-09-18,14222,81,11,0,0
2020-09-19,8338,89,14,0,0
2020-09-20,7174,121,7,0,0
2020-09-21,10163,147,16,0,0
2020-09-22,12485,182,6,0,0
2020-09-23,11732,197,11,0,0
2020-09-24,11261,262,18,0,0
2020-09-25,11989,308,13,0,0
2020-09-26,7741,276,6,0,0
2020-09-27,6214,294,18,0,0
2020-09-28,9560,526,11,0,0
2020-09-29,10748,578,20,0,0
2020-09-30,10174,819,19,0,0
2020-10-01,10644,842,14,0,0
